site,year,season_tmax_max,season_tmax_mean,season_heat_days,season_no_hw,season_tot_hwu,season_avg_hwu,season_max_hw_dur,season_avg_hw_dur,season_max_hw_vpd,season_avg_hw_vpd,gdd_apr_oct,precip_season,Apr_tmax_max,Apr_tmax_mean,Apr_heat_days,Apr_no_hw,Apr_tot_hwu,Apr_avg_hwu,Apr_max_hw_dur,Apr_avg_hw_dur,Apr_max_hw_vpd,Apr_avg_hw_vpd,May_tmax_max,May_tmax_mean,May_heat_days,May_no_hw,May_tot_hwu,May_avg_hwu,May_max_hw_dur,May_avg_hw_dur,May_max_hw_vpd,May_avg_hw_vpd,Jun_tmax_max,Jun_tmax_mean,Jun_heat_days,Jun_no_hw,Jun_tot_hwu,Jun_avg_hwu,Jun_max_hw_dur,Jun_avg_hw_dur,Jun_max_hw_vpd,Jun_avg_hw_vpd,Jul_tmax_max,Jul_tmax_mean,Jul_heat_days,Jul_no_hw,Jul_tot_hwu,Jul_avg_hwu,Jul_max_hw_dur,Jul_avg_hw_dur,Jul_max_hw_vpd,Jul_avg_hw_vpd,Aug_tmax_max,Aug_tmax_mean,Aug_heat_days,Aug_no_hw,Aug_tot_hwu,Aug_avg_hwu,Aug_max_hw_dur,Aug_avg_hw_dur,Aug_max_hw_vpd,Aug_avg_hw_vpd,Sep_tmax_max,Sep_tmax_mean,Sep_heat_days,Sep_no_hw,Sep_tot_hwu,Sep_avg_hwu,Sep_max_hw_dur,Sep_avg_hw_dur,Sep_max_hw_vpd,Sep_avg_hw_vpd,Oct_tmax_max,Oct_tmax_mean,Oct_heat_days,Oct_no_hw,Oct_tot_hwu,Oct_avg_hwu,Oct_max_hw_dur,Oct_avg_hw_dur,Oct_max_hw_vpd,Oct_avg_hw_vpd,MayJul_tmax_max,MayJul_tmax_mean,MayJul_heat_days,MayJul_no_hw,MayJul_tot_hwu,MayJul_avg_hwu,MayJul_max_hw_dur,MayJul_avg_hw_dur,MayJul_max_hw_vpd,MayJul_avg_hw_vpd,AugOct_tmax_max,AugOct_tmax_mean,AugOct_heat_days,AugOct_no_hw,AugOct_tot_hwu,AugOct_avg_hwu,AugOct_max_hw_dur,AugOct_avg_hw_dur,AugOct_max_hw_vpd,AugOct_avg_hw_vpd,cluster,season_type
S1,1981,41.2,28.026168224299067,6,2,6.300000000000004,3.150000000000002,3,2.5,6.63,6.191,2045.9,145.88,33.1,21.163333333333334,0,0,0,0.0,0,0.0,0.0,0.0,31.9,25.587096774193547,0,0,0,0.0,0,0.0,0.0,0.0,38.7,32.443333333333335,1,0,0.0,0.0,0,0.0,0.0,0.0,36.8,33.187096774193556,0,0,0.0,0.0,0,0.0,0.0,0.0,41.2,32.21290322580645,5,2,6.300000000000004,3.150000000000002,3,2.5,6.63,6.191,34.3,29.53666666666667,0,0,0.0,0.0,0,0.0,0.0,0.0,30.6,22.02258064516129,0,0,0,0.0,0,0.0,0.0,0.0,38.7,30.38369565217391,1,0,0.0,0.0,0,0.0,0.0,0.0,41.2,27.90652173913043,5,2,6.300000000000004,3.150000000000002,3,2.5,6.63,6.191,1,POST-V
S1,1982,37.3,26.12289719626168,0,0,0.0,0.0,0,0.0,0.0,0.0,1755.6999999999998,384.46000000000004,26.7,17.466666666666665,0,0,0,0.0,0,0.0,0.0,0.0,35.3,26.087096774193544,0,0,0,0.0,0,0.0,0.0,0.0,32.9,25.870000000000005,0,0,0.0,0.0,0,0.0,0.0,0.0,36.2,30.835483870967742,0,0,0.0,0.0,0,0.0,0.0,0.0,37.3,31.46451612903226,0,0,0.0,0.0,0,0.0,0.0,0.0,36.8,28.076666666666668,0,0,0.0,0.0,0,0.0,0.0,0.0,28.6,22.835483870967746,0,0,0,0.0,0,0.0,0.0,0.0,36.2,27.616304347826084,0,0,0.0,0.0,0,0.0,0.0,0.0,37.3,27.452173913043477,0,0,0.0,0.0,0,0.0,0.0,0.0,2,Cool
S1,1983,39.7,26.794859813084113,5,1,3.1000000000000014,3.1000000000000014,3,3.0,6.399,6.399,1851.5,205.19,23.3,16.716666666666665,0,0,0,0.0,0,0.0,0.0,0.0,31.9,24.890322580645154,0,0,0,0.0,0,0.0,0.0,0.0,34.7,28.750000000000004,0,0,0.0,0.0,0,0.0,0.0,0.0,39.7,30.580645161290327,3,1,3.1000000000000014,3.1000000000000014,3,3.0,6.399,6.399,39.7,31.78064516129032,1,0,0.0,0.0,0,0.0,0.0,0.0,38.0,29.939999999999998,1,0,0.0,0.0,0,0.0,0.0,0.0,29.5,24.745161290322578,0,0,0,0.0,0,0.0,0.0,0.0,39.7,28.06630434782609,3,1,3.1000000000000014,3.1000000000000014,3,3.0,6.399,6.399,39.7,28.809782608695652,2,0,0.0,0.0,0,0.0,0.0,0.0,3,PRE-V
S1,1984,40.1,28.129439252336446,12,3,11.0,3.6666666666666665,3,3.0,6.252,6.229666666666667,2009.8999999999999,115.76,28.4,19.666666666666668,0,0,0,0.0,0,0.0,0.0,0.0,38.5,27.67096774193548,1,0,0,0.0,0,0.0,0.0,0.0,36.5,29.36333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,40.1,34.07096774193548,6,2,8.5,4.25,3,3.0,6.249,6.2185,39.1,32.732258064516124,3,1,2.5,2.5,3,3.0,6.252,6.252,38.1,32.263333333333335,2,0,0.0,0.0,0,0.0,0.0,0.0,29.5,21.038709677419355,0,0,0,0.0,0,0.0,0.0,0.0,40.1,30.379347826086956,7,2,8.5,4.25,3,3.0,6.249,6.2185,39.1,28.639130434782604,5,1,2.5,2.5,3,3.0,6.252,6.252,1,POST-V
S1,1985,39.0,27.445794392523364,5,2,2.3000000000000043,1.1500000000000021,2,2.0,5.72,5.6685,1896.2,80.88,31.4,22.973333333333333,0,0,0,0.0,0,0.0,0.0,0.0,31.3,24.5,0,0,0,0.0,0,0.0,0.0,0.0,38.9,31.54333333333334,2,1,1.1000000000000014,1.1000000000000014,2,2.0,5.617,5.617,39.0,33.60645161290323,3,1,1.2000000000000028,1.2000000000000028,2,2.0,5.72,5.72,35.5,30.20645161290323,0,0,0.0,0.0,0,0.0,0.0,0.0,34.0,25.4,0,0,0.0,0.0,0,0.0,0.0,0.0,35.5,23.812903225806455,0,0,0,0.0,0,0.0,0.0,0.0,39.0,29.86521739130435,5,2,2.3000000000000043,1.1500000000000021,2,2.0,5.72,5.6685,35.5,26.484782608695657,0,0,0.0,0.0,0,0.0,0.0,0.0,3,PRE-V
S1,1986,36.7,26.560280373831773,0,0,0.0,0.0,0,0.0,0.0,0.0,1800.8,96.79000000000002,29.3,20.136666666666667,0,0,0,0.0,0,0.0,0.0,0.0,31.9,24.61935483870968,0,0,0,0.0,0,0.0,0.0,0.0,36.4,28.71666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,36.7,31.164516129032258,0,0,0.0,0.0,0,0.0,0.0,0.0,36.2,32.34516129032258,0,0,0.0,0.0,0,0.0,0.0,0.0,34.0,24.786666666666665,0,0,0.0,0.0,0,0.0,0.0,0.0,30.5,23.958064516129028,0,0,0,0.0,0,0.0,0.0,0.0,36.7,28.160869565217393,0,0,0.0,0.0,0,0.0,0.0,0.0,36.2,27.05434782608695,0,0,0.0,0.0,0,0.0,0.0,0.0,2,Cool
S1,1987,37.9,28.026168224299063,0,0,0.0,0.0,0,0.0,0.0,0.0,2016.1000000000001,53.989999999999995,30.9,24.34333333333333,0,0,0,0.0,0,0.0,0.0,0.0,35.7,26.270967741935483,0,0,0,0.0,0,0.0,0.0,0.0,36.5,29.283333333333328,0,0,0.0,0.0,0,0.0,0.0,0.0,34.9,28.670967741935485,0,0,0.0,0.0,0,0.0,0.0,0.0,37.9,31.306451612903228,0,0,0.0,0.0,0,0.0,0.0,0.0,37.3,29.966666666666672,0,0,0.0,0.0,0,0.0,0.0,0.0,35.3,26.32580645161291,0,0,0,0.0,0,0.0,0.0,0.0,36.5,28.061956521739127,0,0,0.0,0.0,0,0.0,0.0,0.0,37.9,29.19130434782609,0,0,0.0,0.0,0,0.0,0.0,0.0,2,Cool
S1,1988,41.6,27.523364485981308,7,3,10.100000000000009,3.3666666666666694,3,2.3333333333333335,7.19,6.566,1944.8000000000002,109.52000000000001,30.2,20.259999999999998,0,0,0,0.0,0,0.0,0.0,0.0,33.6,22.816129032258065,0,0,0,0.0,0,0.0,0.0,0.0,36.3,27.356666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,41.6,34.390322580645154,3,1,6.900000000000006,6.900000000000006,3,3.0,7.19,7.19,38.6,31.52903225806451,2,1,0.8000000000000043,0.8000000000000043,2,2.0,5.898,5.898,40.4,30.043333333333333,2,1,2.3999999999999986,2.3999999999999986,2,2.0,6.61,6.61,34.4,26.10967741935484,0,0,0,0.0,0,0.0,0.0,0.0,41.6,28.196739130434782,3,1,6.900000000000006,6.900000000000006,3,3.0,7.19,7.19,40.4,29.21847826086957,4,2,3.200000000000003,1.6000000000000014,2,2.0,6.61,6.254,1,POST-V
S1,1989,38.9,26.319158878504673,2,1,1.5,1.5,2,2.0,6.301,6.301,1767.0,204.96000000000004,32.3,22.409999999999993,0,0,0,0.0,0,0.0,0.0,0.0,31.3,23.74193548387097,0,0,0,0.0,0,0.0,0.0,0.0,36.9,26.84666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,38.9,31.890322580645154,2,1,1.5,1.5,2,2.0,6.301,6.301,36.4,29.764516129032256,0,0,0.0,0.0,0,0.0,0.0,0.0,34.1,26.703333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,30.6,22.780645161290323,0,0,0,0.0,0,0.0,0.0,0.0,38.9,27.500000000000004,2,1,1.5,1.5,2,2.0,6.301,6.301,36.4,26.413043478260875,0,0,0.0,0.0,0,0.0,0.0,0.0,3,PRE-V
S1,1990,39.9,27.240654205607477,6,2,3.6000000000000014,1.8000000000000007,3,2.5,6.049,5.9635,1946.9000000000003,158.35000000000002,30.7,21.783333333333335,0,0,0,0.0,0,0.0,0.0,0.0,34.1,22.88064516129032,0,0,0,0.0,0,0.0,0.0,0.0,37.0,27.513333333333332,0,0,0.0,0.0,0,0.0,0.0,0.0,39.9,32.39677419354839,3,1,2.299999999999997,2.299999999999997,3,3.0,5.878,5.878,38.7,30.419354838709676,3,1,1.3000000000000043,1.3000000000000043,2,2.0,6.049,6.049,35.8,29.246666666666666,0,0,0.0,0.0,0,0.0,0.0,0.0,34.0,26.34193548387097,0,0,0,0.0,0,0.0,0.0,0.0,39.9,27.597826086956523,3,1,2.299999999999997,2.299999999999997,3,3.0,5.878,5.878,38.7,28.663043478260875,3,1,1.3000000000000043,1.3000000000000043,2,2.0,6.049,6.049,3,PRE-V
